delta,theta,alpha,beta,abr,tbr,dbr,tar,dar,dtabr,mean,variance,min,max,skewness,kurtosis,hjorth_activity,hjorth_mobility,hjorth_complexity,entropy,label
289.16405223137707,289.71085600455416,144.34903724361786,225.8178168303656,0.6392278486690574,1.2829406468940625,1.280519209202156,2.007016198629778,2.003228131985078,1.563821562803228,52.780078125,6246.300202077229,-326.0,304.0,-0.8845967614383244,3.7483159250612257,6246.300202077229,0.215046092783614,4.968702813130749,1.2538859711925954,1
289.9044036914896,281.45728948264104,144.5219634705035,227.44382875460218,0.6354182668391225,1.2374804408798272,1.2746197831741504,1.9475052976296274,2.0059539514259246,1.5360597805412033,52.71888020833333,6296.933081037733,-326.0,304.0,-0.8884966800631189,3.6971056489168292,6296.933081037733,0.21147025341940934,5.045471016555708,1.2664400220180712,1
266.6675310056298,292.15140907560306,137.28489191699495,234.61478658382816,0.585150211186467,1.2452386881899151,1.1366186031516354,2.1280667158352964,1.9424390206524842,1.5026066769777968,51.95859375,6337.562087605794,-326.0,311.0,-0.909330987867992,3.865814720994793,6337.562087605794,0.20748814252671938,5.143633628428485,1.2636453587974812,1
262.21141119760483,299.88376562177785,138.28022639911632,239.55053121022868,0.5772486735909681,1.251860157048038,1.094597494202545,2.1686670135773967,1.8962321513763483,1.4876903626796745,51.59739583333333,6741.803795301649,-326.0,311.0,-0.9117846991180512,3.3853961533668064,6741.803795301649,0.1973955207794077,5.386951885131689,1.2357969381788976,1
261.5893761156176,295.7664431916282,149.46771640110418,238.3555309993583,0.6270788673307798,1.240862513034885,1.097475586233918,1.9787981666751633,1.750139644962724,1.4371387559748983,53.14270833333333,6799.92546766493,-326.0,311.0,-0.9306862782182826,3.3598451365368396,6799.92546766493,0.19333838256968647,5.492683888428218,1.1995647116861547,1
267.5068275778684,329.2026076794663,152.40853927946856,244.35780563012125,0.6237105415415534,1.347215436112455,1.0947341210895767,2.160001068416606,1.7551957970501009,1.5039315781516334,52.503125,7282.216396484375,-326.0,311.0,-0.8611535603469569,3.0322151256841368,7282.216396484375,0.18452619535067297,5.74935084868764,1.2048661206054085,1
272.63504629230175,325.8328969604293,149.55045458024645,246.68767421573824,0.6062339963100816,1.320831687259232,1.1051830909633187,2.178748957166108,1.8230305421506428,1.5103744434470376,52.63619791666667,7335.793429294163,-326.0,311.0,-0.8729642645477905,2.9914385941534585,7335.793429294163,0.18062303057831786,5.869545091482549,1.2054389297644708,1
233.68579344340694,305.12147752737974,146.5716896255322,239.6464418554113,0.6116163815775116,1.2732151379550725,0.9751273235444043,2.0817217725122603,1.5943446789788511,1.395085385827807,51.521875,6542.914625651041,-315.0,311.0,-0.8561747073811489,3.1871263903073164,6542.914625651041,0.18729479331578716,5.676632280249209,1.252134003090128,1
242.2918931336056,302.34727207001896,136.78726524959697,235.40010579239612,0.5810841281874032,1.2843973500023182,1.029276908427932,2.210346639493985,1.771304460919614,1.4633467107678249,52.772135416666664,6305.848338148329,-315.0,311.0,-0.8776817968246613,3.5350055040133626,6305.848338148329,0.18756781045167176,5.692256289637109,1.2705212219145423,1
245.20426754148275,307.65715054435265,142.93479399192137,235.62088872095617,0.6066304000796714,1.30572952260064,1.0406728744320972,2.1524300833409487,1.7154974005513426,1.4604493957766396,52.458984375,6202.692588551839,-315.0,311.0,-0.8880903567480133,3.712405939523932,6202.692588551839,0.18644483923685048,5.712348875172435,1.27899806628173,1
247.1328388235791,308.83041612128034,138.996926213789,236.0934501649653,0.5887369010731465,1.3080854886295727,1.046758555355518,2.2218506878797672,1.777973409595173,1.482211461441137,52.38125,5890.9950130208335,-315.0,311.0,-0.8932900792945377,4.097911461914999,5890.9950130208335,0.1891667694156543,5.641007951627157,1.2975112739511896,1
256.5224470000776,287.56188026604633,134.1494128053512,226.47106770377434,0.592346802465821,1.2697510687863192,1.1326941211563972,2.143594028870587,1.9122144602473052,1.508744945650295,51.62447916666667,5424.080077853733,-315.0,311.0,-0.8830175454480985,3.976492642309738,5424.080077853733,0.19486420766468093,5.48746015156542,1.3277395727947285,1
244.46093006713704,273.7626227066044,124.66054870052487,211.12490425013658,0.5904587577826893,1.2966855979352199,1.1578971743546873,2.196064637612587,1.961012787248447,1.5433174612537084,52.02942708333333,5249.1725715467655,-315.0,311.0,-0.8116403293924096,3.8991669305301846,5249.1725715467655,0.19582098018250224,5.461709971564711,1.3247601696419915,1
254.98737175706339,264.8454995933744,121.57148240669667,207.29834615874233,0.5864565958167423,1.2776054633381606,1.2300501980937288,2.1785166582684163,2.0974275110345912,1.580664524982415,52.65638020833333,5141.102888980442,-315.0,311.0,-0.8246751448403502,4.128688677766378,5141.102888980442,0.19614678582947256,5.461147255579212,1.3704989199103188,1
224.6005382183745,250.16619449605764,122.51815880447806,209.96804670890296,0.5835085896395259,1.1914488819476654,1.0696891347937234,2.041870339361597,1.8332020364165422,1.4279291135743823,52.571484375,4485.65817123413,-305.0,311.0,-0.7040990124822113,3.9811553943331175,4485.65817123413,0.2066051500831749,5.202331296647046,1.404945731311815,1
198.48475765137385,239.42927031229723,114.18437503816315,186.56900570871048,0.6120222091789395,1.283328221656052,1.0638677999992527,2.09686544443821,1.7382829969953024,1.4560568758235755,50.66432291666667,3954.2045083957246,-305.0,311.0,-0.7461672519209988,4.64170821327353,3954.2045083957246,0.2199711873731905,4.909330087099897,1.4129122897811282,1
