delta,theta,alpha,beta,abr,tbr,dbr,tar,dar,dtabr,mean,variance,min,max,skewness,kurtosis,hjorth_activity,hjorth_mobility,hjorth_complexity,entropy,label
25.15317446,41.47896578,36.76987701,154.5928853,0.237849736,0.268310962,0.162705899,1.128069201,0.684070128,0.348198048,52.20013021,942.652526,-41,132,-0.044642213,-0.909892934,942.652526,1.028895347,1.120587054,1.389001425,0
29.96218488,29.70532369,29.8354172,107.9798861,0.276305322,0.275100528,0.277479316,0.995639628,1.004248899,0.432952707,51.90625,206.6016276,-6,100,-0.087700501,0.092180316,206.6016276,0.541552777,1.996102315,3.018356419,0
30.7943392,32.12719491,37.42839761,152.5492147,0.245352935,0.210602165,0.201864947,0.858364156,0.822753341,0.331204995,51.80455729,237.8332865,-3,116,0.000371105,0.124448064,237.8332865,0.494738045,2.12958973,2.877312103,0
21.62717656,42.0438113,38.42108134,142.8753386,0.268913318,0.294269198,0.151370956,1.094290161,0.562898696,0.351198263,51.86705729,226.6368835,-10,99,-0.045851061,-0.003700369,226.6368835,0.422186816,2.416564189,2.492101755,0
35.93695367,46.52894884,46.05025739,155.712874,0.295738279,0.298812472,0.230789868,1.010394979,0.780385512,0.408726322,52.50820313,268.7322244,-3,117,-0.01294991,0.038401491,268.7322244,0.425595956,2.470189537,2.529387842,0
106.1691762,83.57711,65.96759161,168.0686856,0.392503764,0.497279489,0.631701116,1.266941963,1.609414162,0.810755873,52.02786458,669.3455777,-75,171,-0.023165046,0.981398427,669.3455777,0.224748347,4.349976038,1.983120037,0
27.27163359,27.99715916,35.73872389,104.3099076,0.342620607,0.268403643,0.261448162,0.783384411,0.763083586,0.394640006,51.25598958,171.3211881,7,101,-0.064493897,-0.035250421,171.3211881,0.445378331,2.318683797,3.263258861,0
77.20334615,83.12179096,65.8278146,182.3290676,0.361038508,0.455888861,0.423428624,1.262715335,1.172807371,0.646063634,51.85416667,599.8006076,-181,128,-0.941185632,6.083258205,599.8006076,0.249160478,3.943673743,1.996103823,0
31.40782164,38.23214712,43.99794411,156.0306309,0.281982735,0.245029754,0.201292666,0.868953036,0.713847483,0.348150102,51.86614583,239.6302601,-1,107,0.072939621,-0.004908637,239.6302601,0.349616405,2.819403073,2.952465969,0
30.89550252,47.41173928,41.08080842,150.2736211,0.273373385,0.31550274,0.205594983,1.154109208,0.752066566,0.409226178,51.97929688,259.818712,-18,109,0.028315921,0.219218842,259.818712,0.465222575,2.272888144,2.56542661,0
25.6782206,40.08420934,37.91954763,148.7024691,0.255002811,0.26955981,0.172681871,1.057085642,0.677176343,0.35238302,52.05039063,240.7582681,2,114,0.030938117,0.124153843,240.7582681,0.487833416,2.173181378,2.900699091,0
28.62070913,37.55455677,38.100435,148.9049217,0.255870891,0.252204939,0.192207946,0.985672651,0.751191138,0.353868291,51.62200521,219.9239168,-5,108,-0.033771357,0.334328522,219.9239168,0.42401045,2.416175952,3.011882966,0
60.8345465,66.63559613,60.88178559,149.3354831,0.407684659,0.446214086,0.407368331,1.094507914,0.999224085,0.606373318,51.39322917,404.0859958,-24,119,-0.200436931,0.150471136,404.0859958,0.310282584,3.318439056,2.334595607,0
24.16217036,36.64252226,38.47473381,151.1392256,0.254564847,0.242442173,0.159866972,0.952378837,0.628000975,0.320676246,51.87916667,236.5653472,-8,100,-0.12283874,0.042773453,236.5653472,0.49452053,2.138879487,2.551722339,0
61.46734895,55.546907,51.4794116,123.078512,0.418264819,0.451312793,0.499415763,1.07901208,1.194018095,0.670346287,51.73098958,324.7125292,-12,116,-0.169017253,0.065878518,324.7125292,0.278614494,3.510520212,2.429875791,0
37.21729884,32.52718784,33.0400414,138.9630473,0.237761348,0.234070773,0.267821551,0.984477817,1.126430151,0.40548392,51.42486979,213.2758659,-5,103,-0.199556388,0.101037457,213.2758659,0.376134809,2.559030026,3.031256288,0
34.34384204,33.05083638,34.24906203,113.8182314,0.300910158,0.290382621,0.30174289,0.965014351,1.002767375,0.455162493,51.44283854,193.7943888,6,112,0.102488789,0.003297726,193.7943888,0.393018096,2.52486337,3.004382581,0
49.21038452,65.12128868,65.358495,197.2049494,0.331424212,0.330221371,0.249539297,0.996370689,0.752930197,0.435443988,52.36653646,593.2131771,-115,208,-0.210623746,4.00860838,593.2131771,0.512846228,1.980686037,2.430533765,0
32.37721643,47.2950217,38.01287521,154.8098966,0.245545511,0.305503865,0.209141774,1.244184278,0.851743423,0.413188948,51.35273438,273.2585212,-22,118,-0.090452167,0.356598085,273.2585212,0.463182308,2.298021346,2.4418292,0
43.98706476,64.83257301,53.74534867,166.8292421,0.322157842,0.388616361,0.263665196,1.206291793,0.81843482,0.493346207,51.98398438,357.9878945,-22,123,-0.193695481,0.482239182,357.9878945,0.314105795,3.058082064,2.44137553,0
34.52091895,36.08626627,35.77108921,136.6358484,0.261798713,0.264105406,0.252649062,1.008810944,0.965050819,0.409537958,51.06979167,235.6620562,5,106,0.1998521,-0.009098746,235.6620562,0.475122113,2.202548172,2.867547917,0
39.11624757,34.65560308,40.03287821,122.4229946,0.327004566,0.283080831,0.31951716,0.865678528,0.977103054,0.454103932,51.77057292,3149.960644,-78,213,-0.045498565,-1.27813976,3149.960644,1.113909298,1.0377247,0.734134037,0
22.80379984,40.59263115,40.51757782,121.2747463,0.334097403,0.334716274,0.1880342,1.001852365,0.562812514,0.391838311,51.64934896,231.5948824,0,113,0.037452885,-0.006851536,231.5948824,0.590548696,1.842222784,2.927491595,0
22.39141394,39.71056994,38.12316898,128.383484,0.296947612,0.309312138,0.174410393,1.041638746,0.587343984,0.372969985,51.58984375,181.8872406,-1,101,-0.053753383,0.128308047,181.8872406,0.408305831,2.444819033,3.10475041,0
24.67774525,40.54548493,43.52683466,118.5200879,0.367252804,0.342097999,0.208215718,0.931505478,0.56695474,0.402495951,51.96380208,250.4364501,-10,112,-0.019571372,0.009343162,250.4364501,0.63745902,1.728680677,2.506507991,0
80.56802127,68.70770018,66.39580645,163.1700105,0.406911823,0.421080442,0.493767335,1.034819876,1.213450451,0.650252391,51.92578125,485.9655853,-81,120,-0.456245194,0.814415124,485.9655853,0.289633553,3.546034306,2.133310338,0
24.30040735,28.38856378,34.25450758,100.2826552,0.341579583,0.283085482,0.242319146,0.828754105,0.709407581,0.391631353,51.97291667,151.9331207,12,99,0.122960537,0.028165532,151.9331207,0.485102755,2.1382118,3.350390886,0
57.17997156,68.27714082,65.53147484,173.5643865,0.37756291,0.393382204,0.329445301,1.041898431,0.872557373,0.524714697,51.64361979,473.261665,-37,135,-0.227391614,0.647312466,473.261665,0.271846203,3.619647259,2.328978895,0
