delta,theta,alpha,beta,abr,tbr,dbr,tar,dar,dtabr,mean,variance,min,max,skewness,kurtosis,hjorth_activity,hjorth_mobility,hjorth_complexity,entropy,label
54.37739715,69.30492227,56.67059276,120.1427586,0.471693787,0.576854761,0.452606531,1.22294331,0.959534646,0.699507806,51.78007813,1002.508535,-57,216,0.668854561,1.733860596,1002.508535,0.703629083,1.606783049,2.001757601,1
48.76133219,66.84023289,59.46227755,118.814799,0.500461879,0.562558145,0.410397801,1.124077914,0.820038085,0.648437631,52.09804688,963.3738504,-57,216,0.665371296,1.785255459,963.3738504,0.689618483,1.636476133,1.992975372,1
46.57779219,68.81531145,58.79644742,118.8382696,0.494760212,0.579066926,0.3919427,1.170399139,0.792187185,0.649608959,51.90611979,943.8303792,-57,216,0.672218603,1.767927396,943.8303792,0.667433302,1.686431764,1.989078261,1
46.17920879,73.38129295,58.23061159,117.1330254,0.497132311,0.626478251,0.394245847,1.260184136,0.793040079,0.681786166,51.5671875,910.7488713,-57,216,0.658708809,1.80247724,910.7488713,0.647439171,1.734064969,2.046501532,1
48.50596629,78.83388817,59.12883976,113.4468525,0.521202999,0.694897094,0.427565553,1.333256132,0.820343617,0.737878277,51.62434896,883.6629228,-57,216,0.652015353,1.805695052,883.6629228,0.625443028,1.794277082,2.040177453,1
48.71308371,77.99014141,53.11736581,109.0122783,0.487260395,0.715425296,0.446858688,1.468260713,0.917083951,0.781493266,51.66953125,869.91553,-57,216,0.656424079,1.791728806,869.91553,0.608243877,1.842207928,2.038242517,1
50.09321363,80.460291,53.78681393,109.8433059,0.489668564,0.732500632,0.45604248,1.495911082,0.931328888,0.797857416,51.26679688,860.0815538,-57,216,0.645654312,1.687954535,860.0815538,0.584241026,1.910597546,2.112157042,1
56.60809265,73.8245392,50.24629175,108.7704054,0.461948189,0.678718985,0.520436533,1.469253484,1.126612347,0.820244881,51.38580729,808.2041475,-49,208,0.652939038,1.629859418,808.2041475,0.560792371,1.98017186,2.136131785,1
55.89724372,75.86580181,49.60420261,107.9003149,0.459722501,0.703110106,0.518045233,1.529422868,1.126865079,0.83656677,51.82382813,785.4112812,-49,204,0.615133649,1.413438953,785.4112812,0.526642035,2.098640068,2.140737882,1
54.62811937,82.37642136,51.2932504,106.2128157,0.482929015,0.775578925,0.514327005,1.605989496,1.065015747,0.869836598,51.90195313,751.8040587,-49,204,0.63515312,1.36736698,751.8040587,0.497075649,2.215548457,2.130707651,1
54.06776724,83.60454937,51.78935057,106.284111,0.487272745,0.786613809,0.508709785,1.614319323,1.043993922,0.870938836,51.74492188,721.1384508,-49,204,0.63669245,1.241923644,721.1384508,0.458093355,2.378102302,2.121511769,1
56.64722385,85.65134893,55.21877368,101.9572523,0.541587503,0.840071177,0.555597788,1.551127329,1.025868922,0.905345277,51.89947917,703.3953643,-49,204,0.683717875,1.255135994,703.3953643,0.422472201,2.552801284,2.111258952,1
