delta,theta,alpha,beta,abr,tbr,dbr,tar,dar,dtabr,label
162.50781332712282,89.69492231802423,60.61938482067252,94.7175064957473,0.6400019073917899,0.9469730109718568,1.715710425024958,1.4796409198701785,2.6807895495452825,0.6159207231398993,0
179.2066031314352,100.15596671145285,70.95426575913211,107.55604626045638,0.6596957421371751,0.9311979213973374,1.6661694936003013,1.4115566645626567,2.5256635554483284,0.6389915160072508,0
187.61454920520492,105.29079384311558,79.63079818328961,115.7262135187319,0.6880964628675098,0.9098266558775191,1.6211931895174025,1.3222370771766379,2.3560551129145346,0.6669629501084026,0
189.77538799671925,105.4787403839139,86.14921907553922,118.78192882930804,0.7252721009383282,0.888003262983622,1.597678955604688,1.2243725655995297,2.2028683490481358,0.6940839372130841,0
187.754801433958,101.96154287097508,90.09218676978901,118.45591232884689,0.7605545810130862,0.8607552030659171,1.5850184067869033,1.1317467865611435,2.0840297939900667,0.7198354638878581,0
190.1589151739341,97.19791820701371,92.06937254356934,118.12818804554384,0.7794022245399411,0.8228173124059048,1.6097674765028913,1.0557030587019307,2.0653873261050686,0.7314862086834563,0
192.93764912037062,93.54928564063877,93.24216168788024,118.04007891026853,0.7899195133439455,0.792521374979365,1.634509658935738,1.0032938313226436,2.0692103832407067,0.7374934594291457,0
195.6875796694258,91.34963526511858,92.59893274121306,118.92142108765019,0.7786564598228579,0.7681512248141568,1.6455200238920424,0.9865085110690649,2.1132811564504244,0.7369091630752413,0
200.93544155192373,92.22141308265392,89.87603168967672,120.62399035423219,0.745092509589021,0.764536248650294,1.6657999869001494,1.0260957381949765,2.2356955216459946,0.7180457107383652,0
212.07901423604648,96.3416818067642,87.09332311135883,121.27552705760411,0.7181442556831006,0.7944033239369334,1.7487371061707448,1.106189066681728,2.435077760953949,0.6755994420686997,0
224.78906008700457,100.42037093813904,85.16235159576338,119.76224629027203,0.7110951425322497,0.8384977240218642,1.8769609543075478,1.179163903491067,2.639535614915867,0.6301311657538974,0
231.1203947763413,103.44206417379063,84.67294847679248,118.06362558590503,0.7171806562486348,0.8761552396891664,1.9575918800509333,1.2216660224385887,2.7295659231671583,0.6059752630312785,0
230.34580298720624,104.44358679571233,85.58178472308435,118.32213061130003,0.7232948247376396,0.8827054267541878,1.946768552908459,1.2203950540837494,2.6915283869404285,0.6090513067531743,0
224.2632941224996,102.0121655712458,86.79813964764244,121.03638663617386,0.7171243463219951,0.8428222983712046,1.8528584697147144,1.1752805530782662,2.5837338799298895,0.6369909844856175,0
223.3405375509048,96.19757687329377,87.90292710551712,125.51039770923788,0.7003637046004456,0.7664510560802198,1.7794584482817424,1.0943614739679817,2.5407633727920205,0.6678806539223706,0
228.92864711886529,90.11211638323864,90.24197671657268,130.18308540376847,0.6931927941074931,0.692195273324119,1.7585129927504266,0.9985609764096602,2.536831034163541,0.6908993687851664,0
233.18355052156514,86.09288178180412,91.94978261432745,132.87330907887693,0.6920109332096467,0.6479320969623571,1.7549314616913885,0.9363032661307161,2.535988056650728,0.7041643821664312,0
234.01646133726683,84.20805040900957,91.47001755001007,131.91515968763116,0.6934003473642205,0.6383500623310485,1.7739921771796867,0.9206082240333002,2.558395281921984,0.7019735092428974,0
231.49643898379412,83.927643085035,88.7202106629318,127.78418943676218,0.6942972448625004,0.6567920761947557,1.8116203577623118,0.945981106874229,2.6092863988263235,0.6863914723304172,0
225.05140145672004,84.21681586874861,85.2515321940313,122.59879166127547,0.6953700851275125,0.6869302276765397,1.8356738953717247,0.9878627832409195,2.639851691398416,0.6720714002000685,0
216.41001355641993,85.5582456907712,82.84248284461393,117.94514234420936,0.7023814732687138,0.7254071171585794,1.834836172606856,1.0327822483453468,2.612307189806661,0.6649295713708062,0
210.26361381074855,86.90891210241493,81.67224704007856,115.19044018429838,0.7090193153998495,0.7544802499527343,1.825356457309637,1.0641180480777834,2.574480578544228,0.6624525151490687,0
217.58930927140318,87.60265833015399,81.50207940393818,114.78310709457924,0.7100529116778649,0.7632016639693414,1.8956562056828925,1.0748518193748198,2.6697393595688954,0.6431531866355579,0
231.08786441856194,88.04672955970345,81.6986872886155,115.73257606744642,0.7059264561864007,0.7607774107472709,1.9967400041617407,1.0777006642550122,2.828538279962834,0.61864575975586,0
240.73698140087077,89.53984223134968,80.66565481028172,116.77713173318513,0.6907658512677664,0.7667583618677346,2.0615079153589058,1.1100119678187605,2.984380179731538,0.5978099957850181,0
248.21923078540357,91.2492771904459,79.44813519837201,117.17984771156158,0.6780016935500185,0.7787113481752952,2.118275758442661,1.148538942576914,3.1242927246263403,0.5792230451135755,0
248.45786039352728,91.66420006478036,79.12201443752873,116.6394170418489,0.6783471355068643,0.785876699228463,2.130136335509834,1.158517015983641,3.140186232109885,0.5755622884784157,0
